line_cd,company_cd,line_name,line_name_k,line_name_h,line_name_r,line_name_rn,line_name_zh,line_name_ko,line_color_c,line_color_t,line_type,line_symbol1,line_symbol2,line_symbol3,line_symbol4,line_symbol1_color,line_symbol2_color,line_symbol3_color,line_symbol4_color,line_symbol1_shape,line_symbol2_shape,line_symbol3_shape,line_symbol4_shape,lon,lat,zoom,e_status,e_sort,average_distance
11213,2,山田線,ヤマダセン,山田線,Yamada Line,Yamada Line,山田线,야마다선,A52A2A,ブラウン,2,,,,,,,,,,,,,141.66678736172,39.596929215682,9,0,11213,4389.452854
11214,2,羽越本線,ウエツホンセン,羽越本線,Uetsu Main Line,Uetsu Main Line,羽越本线,우에쓰 본선,16C0E9,スカイブルー,2,,,,,,,,,,,,,139.76178034192,38.732941172603,8,0,11214,4373.303066
11215,2,男鹿線,オガセン,男鹿線,Oga Line,Oga Line,男鹿线,오가선,008000,グリーン,2,,,,,,,,,,,,,139.95867900532,39.892399877362,11,0,11215,3062.60838
11216,2,山形線,ヤマガタセン,奥羽本線,Ou Main Line,Ou Main Line,奥羽本线,오우 본선,FF6600,オレンジ,2,,,,,,,,,,,,,140.28335367601,38.307715360015,9,0,11216,4011.095132
11217,2,仙山線,センザンセン,仙山線,Senzan Line,Senzan Line,仙山线,센잔선,77DD00,ウグイス,2,,,,,,,,,,,,,140.59961861488,38.314700346769,10,0,11217,2795.888297
11218,2,フルーツライン左沢線,フルーツラインアテラザワセン,左沢線,Aterazawa Line,Aterazawa Line,左泽线,아테라자와선,87CEEB,薄いスカイブルー,2,,,,,,,,,,,,,140.28080951726,38.335650729484,12,0,11218,2258.228966
11219,2,米坂線,ヨネサカセン,米坂線,Yonesaka Line,Yonesaka Line,米坂线,요네사카선,9E7EB9,パープル,2,,,,,,,,,,,,,139.77035691875,38.044983973857,10,0,11219,4191.159776
11220,2,奥の細道最上川ライン,オクノホソミチモガミガワライン,陸羽西線,Riku-West Line,Riku-West Line,陆羽西线,리쿠우사이선,32CD32,ライムグリーン,2,,,,,,,,,,,,,140.09618463594,38.755341242289,10,0,11220,4331.971996
11221,2,奥の細道湯けむりライン,オクノホソミチユケムリライン,陸羽東線,Riku-East Line,Riku-East Line,陆羽东线,리쿠우토선,888888,グレー,2,,,,,,,,,,,,,140.68130433847,38.730039719484,10,0,11221,3335.209388
11222,2,仙石線,センセキセン,仙石線,Senseki Line,Senseki Line,仙石线,센세키선,00AAEE,スカイブルー,2,,,,,,,,,,,,,141.07264180992,38.36634215832,11,0,11222,1514.083033
11223,2,石巻線,イシノマキセン,石巻線,Ishinomaki Line,Ishinomaki Line,石卷线,이시노마키선,FF8888,ピンク,2,,,,,,,,,,,,,141.25229917969,38.486868490276,11,0,11223,3190.81303
11224,2,気仙沼線,ケセンヌマセン,気仙沼線,Kesennuma Line,Kesennuma Line,气仙沼线,게센누마선,6600CC,パープル,2,,,,,,,,,,,,,141.46445757915,38.696179754212,10,0,11224,3029.705979
11225,2,磐越西線,バンエツサイセン,磐越西線,Ban-etsu-West Line,Ban-etsu-West Line,磐越西线,반에쓰사이선,CB7B35,茶,2,,,,,,,,,,,,,140.13079052058,37.517733926432,10,0,11225,3617.954133
11226,2,森と水とロマンの鉄道,モリトミズトロマンノテツドウ,磐越西線,Ban-etsu-West Line,Ban-etsu-West Line,磐越西线,반에쓰사이선,CB7B35,茶,2,,,,,,,,,,,,,139.121445,37.800383,9,0,11226,3561.979235
11227,2,只見線,タダミセン,只見線,Tadami Line,Tadami Line,只见线,다다미선,008DD1,ブルー,2,,,,,,,,,,,,,139.44780738878,37.391764617317,9,0,11227,3254.783258
11228,2,ゆうゆうあぶくまライン,ユウユウアブクマライン,磐越東線,Ban-etsu-East Line,Ban-etsu-East Line,磐越东线,반에쓰토선,C71585,レッドパープル,2,,,,,,,,,,,,,140.64261227539,37.269777239001,10,0,11228,5005.807963
11229,2,常磐線,ジョウバンセン,常磐線,Joban Line,Joban Line,常磐线,조반선,007AC0,青,2,JJ,,,,#00B261,,,,SQUARE,,,,140.51887435257,36.519004059221,9,0,11229,4818.898964
11230,2,常磐線,ジョウバンセン,常磐線,Joban Line,Joban Line,常磐线,조반선,007AC0,青,2,,,,,,,,,,,,,140.93341993038,37.661556052556,9,0,11230,4217.124183
11301,2,東海道線,トウカイドウセン,東海道本線,Tokaido Line,Tokaido Line,东海道线,도카이도선,F68B1E,オレンジ,2,JT,,,,#F68B1E,,,,SQUARE,,,,139.43024413263,35.395079623415,10,0,11301,4994.602073
11302,2,山手線,ヤマノテセン,山手線,Yamanote Line,Yamanote Line,山手线,야마노테선,80C241,黄緑,2,JY,,,,#80C241,,,,SQUARE,,,,139.73522275686,35.69302730763,12,0,11302,1075.968412
11303,2,南武線,ナンブセン,南武線,Nambu Line,Nambu Line,南武线,난부선,FFD400,黄,2,JN,,,,#FFD400,,,,SQUARE,,,,139.5621831285,35.621268017965,11,0,11303,1284.309043
11304,2,鶴見線,ツルミセン,鶴見線,Tsurumi Line,Tsurumi Line,鹤见线,쓰루미선,FFD400,黄,2,JI,,,,#FFD400,,,,SQUARE,,,,139.69734220226,35.503227015417,13,0,11304,859.8298091
11305,2,武蔵野線,ムサシノセン,武蔵野線,Musashino Line,Musashino Line,武藏野线,무사시노선,F15A22,朱,2,JM,,,,#F15A22,,,,SQUARE,,,,139.70511311944,35.802577076923,10,0,11305,2833.052798
11306,2,横浜線,ヨコハマセン,横浜線,Yokohama Line,Yokohama Line,横滨线,요코하마선,80C241,黄緑,2,JH,,,,#80C241,,,,SQUARE,,,,139.4711185,35.561004106149,11,0,11306,2119.385234
11307,2,根岸線,ネギシセン,根岸線,Negishi Line,Negishi Line,根岸线,네기시선,00B2E5,水色,2,JK,,,,#00B2E5,,,,SQUARE,,,,139.59867881738,35.414845593462,12,0,11307,1762.473763
11308,2,横須賀線,ヨコスカセン,横須賀線,Yokosuka Line,Yokosuka Line,横须贺线,요코스카선,007AC0,青,2,JO,,,,#0067C0,,,,SQUARE,,,,139.64761859128,35.48340539219,10,0,11308,3783.534996
11309,2,相模線,サガミセン,相模線,Sagami Line,Sagami Line,相模线,사가미선,009793,青緑,2,,,,,,,,,,,,,139.36780165864,35.483174930602,11,0,11309,1841.117536
11311,2,中央本線,チュウオウホンセン,中央本線,Chuo Line,Chuo Line,中央本线,주오 본선,007AC0,青,2,JC,CO,,,#F15A22,#007AC0,,,SQUARE,SQUARE,,,138.61735796978,35.7703673366,9,0,11311,4333.814442
11312,2,中央線(快速),チュウオウセン,中央線(快速),Chuo Line,Chuo Line,中央线,츄오선,F15A22,朱,2,JC,JB,,,#F15A22,,,,SQUARE,,,,139.53798847266,35.700170421149,10,0,11312,2154.703528
11313,2,中央・総武線,チュウオウ・ソウブセン,中央・総武緩行線,Chuo-Sobu Line,Chuo-Sobu Line,中央・总武线,주오·소부선,FFD400,黄,2,JB,,,,#FFD400,,,,SQUARE,,,,139.83715522681,35.701641362335,10,0,11313,1555.883298
11314,2,総武本線,ソウブホンセン,総武本線,Sobu Main Line,Sobu Main Line,总武本线,소부 본선,007AC0,青,2,JO,,,,#0067C0,,,,SQUARE,,,,140.25466124559,35.687902630018,9,0,11314,3855.34935
11315,2,青梅線,オウメセン,青梅線,Ome Line,Ome Line,青梅线,오메선,F15A22,朱,2,JC,,,,#F15A22,,,,SQUARE,,,,139.24004135477,35.782572650079,11,0,11315,1447.167162
11316,2,五日市線,イツカイチセン,五日市線,Itsukaichi Line,Itsukaichi Line,五日市线,이쓰카이치선,F15A22,朱,2,JC,,,,#F15A22,,,,SQUARE,,,,139.29165743388,35.725830442826,12,0,11316,1807.900124
11317,2,八高線,ハチコウセン,八高線,Hachiko Line,Hachiko Line,八高线,하치코선,A8A39D,グレー,2,,,,,,,,,,,,,139.33299376182,35.78050242395,11,0,11317,3651.873126
11318,2,八高線,ハチコウセン,八高線,Hachiko Line,Hachiko Line,八高线,하치코선,A8A39D,グレー,2,,,,,,,,,,,,,139.17965333594,36.121041621507,10,0,11318,3983.690946
11319,2,宇都宮線,ウツノミヤセン,東北本線,Utsunomiya Line,Utsunomiya Line,宇都宫线,우쓰노미야선,F68B1E,オレンジ,2,JU,,,,#F68B1E,,,,SQUARE,,,,139.8464030032,36.379439240801,9,0,11319,4815.931405
11320,2,常磐快速線,ジョウバンカイソクセン,常磐線,Joban Rapid Line,Joban Rapid Line,常磐快速线,조반 쾌속선,00B261,緑,2,JJ,JL,,,#00B261,#A2A9B1,,,SQUARE,SQUARE,,,139.92381250144,35.819719327369,11,0,11320,2001.759231
11321,2,埼京線,サイキョウセン,埼京線,Saikyo Line,Saikyo Line,埼京线,사이쿄선,00B48D,緑,2,JA,,,,#00B48D,,,,SQUARE,,,,139.61820154055,35.803195815713,11,0,11321,2323.133887
11322,2,川越線,カワゴエセン,川越線,Kawagoe Line,Kawagoe Line,川越线,가와고에선,00B48D,緑,2,,,,,,,,,,,,,139.46934263477,35.909610455629,11,0,11322,2880.176953
11323,2,高崎線,タカサキセン,高崎線,Takasaki Line,Takasaki Line,高崎线,다카사키선,F68B1E,オレンジ,2,JU,,,,#F68B1E,,,,SQUARE,,,,139.45218074609,36.095735640814,9,0,11323,4315.884705
11324,2,外房線,ソトボウセン,外房線,Sotobo Line,Sotobo Line,外房线,소토보선,DB4028,レッド,2,,,,,,,,,,,,,140.27983028046,35.348739074074,10,0,11324,3407.874239
11325,2,内房線,ウチボウセン,内房線,Uchibo Line,Uchibo Line,内房线,우치보선,00B9F1,スカイブルー,2,,,,,,,,,,,,,139.94808075586,35.293288268348,9,0,11325,3716.739261
11326,2,京葉線,ケイヨウセン,京葉線,Keiyo Line,Keiyo Line,京叶线,게이요선,C9242F,赤,2,JE,JM,,,#C9242F,#F15A22,,,SQUARE,SQUARE,,,139.93611002908,35.643649620089,11,0,11326,2485.674246
11327,2,成田線,ナリタセン,成田線,Narita Line,Narita Line,成田线,나리타선,00B261,緑,2,JO,,,,#007AC0,,,,SQUARE,,,,140.37238841518,35.862764659621,10,0,11327,6867.094659
11328,2,成田エクスプレス,ナリタエクスプレス,成田エクスプレス,Narita Express,Narita Express,成田特快,나리타 익스프레스,F61E21,朱,2,,,,,,,,,,,,,139.75719824349,35.692120917755,9,0,11328,11769.41891
11329,2,鹿島線,カシマセン,鹿島線,Kashima Line,Kashima Line,鹿岛线,가시마선,C56E2E,茶,2,,,,,,,,,,,,,140.56469727511,35.942684415907,12,0,11329,3106.478593
11330,2,久留里線,クルリセン,久留里線,Kururi Line,Kururi Line,久留里线,구루리선,00B5AD,シーグリーン,2,,,,,,,,,,,,,140.04649970913,35.350677697394,11,0,11330,2274.061066
11331,2,東金線,トウガネセン,東金線,Togane Line,Togane Line,东金线,도가네선,F15A22,オレンジバーミリオン,2,,,,,,,,,,,,,140.36805862754,35.562328658445,12,0,11331,3359.841654
11332,2,京浜東北線,ケイヒントウホクセン,京浜東北線,Keihin-Tohoku Line,Keihin-Tohoku Line,京滨东北线,게이힌 도호쿠선,00B2E5,水色,2,JK,,,,#00B2E5,,,,SQUARE,,,,139.64251209706,35.639295559243,10,0,11332,1658.692149
11333,2,湘南新宿ライン,ショウナンシンジュクライン,湘南新宿ライン,Shonan-Shinjuku Line,Shonan-Shinjuku Line,湘南新宿线,쇼난 신주쿠 라인,F68B1E,オレンジ,2,JS,,,,#E31F26,,,,SQUARE,,,,139.62294366433,35.657399740719,10,0,11333,4890.079223
11343,2,上野東京ライン,ウエノトウキョウライン,上野東京ライン,Ueno-Tokyo Line,Ueno-Tokyo Line,上野东京线,우에노 도쿄 라인,8D2E90,紫,2,JU,,,,#F68B1E,,,,SQUARE,,,,139.77210044861,35.697455807258,14,0,11333,3728.648756
11334,2,烏山線,カラスヤマセン,烏山線,Karasuyama Line,Karasuyama Line,乌山线,가라스야마선,008000,グリーン,2,,,,,,,,,,,,,140.06497854492,36.65874003351,12,0,11334,2512.100478
11335,2,吾妻線,アガツマセン,吾妻線,Agatsuma Line,Agatsuma Line,吾妻线,아가쓰마선,0F5474,ブルーグリーン,2,,,,,,,,,,,,,138.79130356098,36.552041262858,10,0,11335,2985.243754
11337,2,信越本線,シンエツホンセン,信越本線,Shin’etsu Main Line,Shin’etsu Main Line,信越本线,신에쓰 본선,9ACD32,イエローグリーン,2,,,,,,,,,,,,,138.88077508398,36.330382339568,11,0,11337,3971.269673
11338,2,水郡線,スイグンセン,水郡線,Suigun Line,Suigun Line,水郡线,스이군선,008000,グリーン,2,,,,,,,,,,,,,140.46215357133,36.922047433179,9,0,11338,3185.135936
11339,2,水戸線,ミトセン,水戸線,Mito Line,Mito Line,水户线,미토선,3333FF,ブルー,2,,,,,,,,,,,,,140.05132073047,36.333565088505,10,0,11339,3250.360856
11340,2,日光線,ニッコウセン,日光線,Nikko Line,Nikko Line,日光线,닛코선,880022,マルーン,2,,,,,,,,,,,,,139.75294070368,36.636143451156,11,0,11340,6511.319981
11341,2,両毛線,リョウモウセン,両毛線,Ryomo Line,Ryomo Line,两毛线,료모선,FFD400,イエロー,2,,,,,,,,,,,,,139.38787997377,36.356773949791,10,0,11341,4235.739383
11342,2,上越線,ジョウエツセン,上越線,Joetsu Line,Joetsu Line,上越线,조에쓰선,00B3E6,スカイブルー,2,,,,,,,,,,,,,138.89241921267,36.915386599758,9,0,11342,4232.335496
11344,100,ディズニーリゾートライン,ディズニーリゾートライン,ディズニーリゾートライン,Disney Resort Line,Disney Resort Line,迪士尼度假区线,디즈니 리조트 라인,EB6EA5,ピンク,5,,,,,,,,,,,,,139.88144,35.63298,14,0,11343,1250
11345,2,常磐緩行線,ジョウバンカンコウセン,常磐線,Joban Local Line,Joban Local Line,常磐缓行线,조반 완행선,A2A9B1,灰,2,JL,,,,#A2A9B1,,,,SQUARE,,,,139.92381250144,35.819719327369,11,0,11345,2001.759231
11401,2,小海線,コウミセン,小海線,Koumi Line,Koumi Line,小海线,고우미선,008000,グリーン,2,,,,,,,,,,,,,138.422021,36.326337,10,0,11401,2236.511091
11402,3,身延線,ミノブセン,身延線,Minobu Line,Minobu Line,身延线,미노부선,1DA5BD,水色,2,CC,,,,#6F2D98,,,,HALF_SQUARE_WITHOUT_ROUND,,,,138.53239703335,35.392163238565,10,0,11402,2118.828735
11403,2,信越本線,シンエツホンセン,信越本線,Shin’etsu Main Line,Shin’etsu Main Line,信越本线,신에쓰 본선,FFD400,黄,2,SE,,,,#00B3E6,,,,ROUND,,,,138.15981626976,36.608595973876,12,0,11403,2288.052518
