company_cd,rr_cd,company_name,company_name_k,company_name_h,company_name_r,company_name_en,company_name_full_en,company_url,company_type,e_status,e_sort
219,99,岡山電気軌道,オカヤマデンキキドウ,岡山電気軌道株式会社,岡電,Okayama Electric Tramway,Okayama Electric Tramway,http://www.okayama-kido.co.jp/,0,0,217
220,99,スカイレールサービス,スカイレールサービス,スカイレールサービス株式会社,スカイレールサービス,Sky Rail Service,Sky Rail Service,,0,0,218
221,99,広島高速交通,ヒロシマコウソクコウツウ,広島高速交通株式会社,広島高速交通,Hiroshima Rapid Transit,Hiroshima Rapid Transit,http://astramline.co.jp/,0,0,219
222,99,広島電鉄,ヒロシマデンテツ,広島電鉄株式会社,広電,Hiroshima Electric Railway,Hiroshima Electric Railway,http://www.hiroden.co.jp/,0,0,220
223,99,錦川鉄道,ニシキガワテツドウ,錦川鉄道株式会社,錦川鉄道,NISHIKIGAWA TETUDOU,NISHIKIGAWA TETUDOU,http://nishikigawa.com/,0,0,221
224,99,阿佐海岸鉄道,アサカイガンテツドウ,阿佐海岸鉄道株式会社,阿佐鉄,Asa Coast Railway Company,Asa Coast Railway Company,http://www.asatetu.v-co.jp/,0,0,222
225,99,高松琴平電気鉄道,タカマツコトヒラデンキテツドウ,高松琴平電気鉄道株式会社,琴電,Kotoden,TAKAMATSU-KOTOHIRA ELECTRIC RAILROAD,http://www.kotoden.co.jp/,0,0,223
226,99,伊予鉄道,イヨテツドウ,伊予鉄道株式会社,伊予鉄,Iyo Railway,Iyo Railway,http://www.iyotetsu.co.jp/,0,0,224
227,99,土佐くろしお鉄道,トサクロシオテツドウ,土佐くろしお鉄道株式会社,土佐くろしお鉄道,Tosa Kuroshio Tetsudo,Tosa Kuroshio Tetsudo,http://www.tosakuro.co.jp/,0,0,225
228,99,土佐電気鉄道,トサデンキテツドウ,土佐電気鉄道株式会社,土佐電,Tosa Electric Railway,Tosa Electric Railway,http://www.tosaden.co.jp/,0,0,226
229,99,甘木鉄道,アマギテツドウ,甘木鉄道株式会社,甘木鉄道,AMAGI TETSUDOU,AMAGI TETSUDOU,http://www.amatetsu.jp/,0,0,227
230,99,平成筑豊鉄道,ヘイセイチクホウテツドウ,平成筑豊鉄道株式会社,平成筑豊鉄道,Heisei Chikuho Railway,Heisei Chikuho Railway,http://www.heichiku.net/,0,0,228
