station_cd,station_g_cd,station_name,station_name_k,station_name_r,station_name_zh,station_name_ko,primary_station_number,secondary_station_number,extra_station_number,three_letter_code,line_cd,pref_cd,post,address,lon,lat,open_ymd,close_ymd,e_status,e_sort
100701,1130101,東京,トウキョウ,Tōkyō,东京,도쿄,,,,TYO,1007,13,100-0005,東京都千代田区丸の内一丁目9-1,139.766084,35.681382,1914-12-20,0000-00-00,3,100701
100702,1130220,上野,ウエノ,Ueno,上野,우에노,,,,UEN,1007,13,110-0005,東京都台東区上野七丁目1-1,139.777254,35.713768,1883-07-28,0000-00-00,3,100702
100703,1131906,大宮,オオミヤ,Ōmiya,大宫,오미야,,,,OMY,1007,11,330-0853,埼玉県さいたま市大宮区錦町630,139.624,35.906206,1885-03-16,0000-00-00,3,100703
100704,1131918,小山,オヤマ,Oyama,小山,오야마,,,,,1007,9,323-0025,栃木県小山市城山町三丁目3-22,139.80685,36.3142,0000-00-00,0000-00-00,3,100704
100705,1131923,宇都宮,ウツノミヤ,Utsunomiya,宇都宮,우쓰노미야,,,,,1007,9,321-0965,栃木県宇都宮市川向町1-23,139.898283,36.558701,0000-00-00,0000-00-00,3,100705
100706,1131932,那須塩原,ナスシオバラ,Nasushiobara,那须盐原,나스시오바라,,,,,1007,9,329-3153,栃木県那須塩原市大原間555,140.020514,36.931772,0000-00-00,0000-00-00,3,100706
100707,1123106,新白河,シンシラカワ,Shin-Shirakawa,新白河,신시라카와,,,,,1007,7,961-8052,福島県西白河郡西郷村字道南東,140.188998,37.123281,1944-10-11,0000-00-00,3,100707
100708,1123114,郡山,コオリヤマ,Kōriyama,郡山,고리야마,,,,,1007,7,963-8003,福島県郡山市字燧田195,140.388412,37.397983,1887-07-16,0000-00-00,3,100708
100709,1123124,福島,フクシマ,Fukushima,福岛,후쿠시마,,,,,1007,7,960-8031,福島県福島市栄町1-1,140.458724,37.754311,1887-12-15,0000-00-00,0,100709
100710,1121609,米沢,ヨネザワ,Yonezawa,米泽,요네자와,,,,,1007,6,992-0027,山形県米沢市駅前一丁目1-43,140.128087,37.909639,1899-05-15,0000-00-00,0,100710
100711,1121611,高畠,タカハタ,Takahata,高畠,다카하타,,,,,1007,6,999-2173,山形県東置賜郡高畠町大字山崎200-1,140.153149,37.992595,1900-04-21,0000-00-00,0,100711
100712,1121612,赤湯,アカユ,Akayu,赤汤,아카유,,,,,1007,6,999-2241,山形県南陽市郡山番外地,140.149192,38.047214,1900-04-21,0000-00-00,0,100712
100713,1121615,かみのやま温泉,カミノヤマオンセン,Kaminoyamaonsen,上山温泉,가미노야마온센,,,,,1007,6,999-3134,山形県上山市矢来一丁目1-1,140.278431,38.152093,1901-02-15,0000-00-00,0,100713
