id,type_cd,type_name,type_name_k,type_name_r,type_name_zh,type_name_ko,color,direction,kind,#メモ,#着手済
0,505,川越特急,カワゴエトッキュウ,Kawagoe Limited Express,川越特快,가와고에 특급,#E73799,0,4,,COMPLETE
0,506,サザン,サザン,Southern,南方,남부,#3366CC,0,4,,COMPLETE
0,507,ラピートα,ラピートアルファ,rapi:tα,rapi:tα,라피트α,#0065AF,0,4,,COMPLETE
0,508,ラピートβ,ラピートベータ,rapi:tβ,rapi:tβ,라피트β,#0065AF,0,4,,COMPLETE
0,509,ちちぶ,チチブ,Chichibu,秩父,지치부,#FF6600,0,4,,COMPLETE
0,510,Mt.TAKAO,マウントタカオ,Mt.TAKAO,Mt.TAKAO,Mt.TAKAO,#57A100,0,4,,COMPLETE
0,511,ミュースカイ,ミュースカイ,μ-SKY,μ-SKY,μ-SKY,#FAA902,0,4,,COMPLETE
0,512,ひのとり,ヒノトリ,HINOTORI,HINOTORI,HINOTORI,#AD2320,0,4,,COMPLETE
0,513,こうや,コウヤ,KŌYA,高野,코야,#009A41,0,4,,COMPLETE
0,514,りんかん,リンカン,RINKAN,林间,린칸,#009A42,0,4,,COMPLETE
0,515,はしだて,ハシダテ,Hashidate,桥立,하시다테,#E80000,0,4,,COMPLETE
0,516,スーパーはこね,スーパーハコネ,Super Hakone,超级箱根,슈퍼 하코네,#2288CC,0,4,,COMPLETE
0,517,はこね,ハコネ,Hakone,箱根,하코네,#2288CC,0,4,,COMPLETE
0,518,メトロはこね,メトロハコネ,Metro Hakone,地下铁箱根,메트로 하코네,#2288CC,0,4,,COMPLETE
0,519,THライナー,THライナー,TH Liner,TH Liner,TH Liner,#B50033,0,2,,COMPLETE
0,520,けごん・きぬ,ケゴン・キヌ,Kegon/Kinu,华严・绢,케곤・키누,#00458F,0,4,,COMPLETE
0,521,きぬがわ,キヌガワ,Kinugawa,鬼怒川,기누가와,#378640,0,4,,COMPLETE
0,522,会津,アイヅ,Aizu,会津,아이즈,#009F49,0,4,,COMPLETE
0,523,スペーシアX(7号・8号),スペーシアX(7ゴウ・8ゴウ),SPACIA X(No.7/No.8),SPACIA X(7号/8号),SPACIA X(7호/8호),#221614,0,4,,COMPLETE
0,524,スペーシアX(1号〜6号),スペーシアX(1ゴウ〜6ゴウ),SPACIA X(No.1 through No.6),SPACIA X(1号~6号),SPACIA X(7호~8호),#221614,0,4,,COMPLETE
